statement_originator,statement_date,statement,verdict,statement_source,tags,factchecker,factcheck_date,factcheck_analysis_link
Daniel Biss,"November 27, 2017",These guys are now pretty much living up to the @BruceRauner standard. And falling dismally short of the @MittRomney standard. Even Romney released his full tax returns.,true,tweet,Campaign Finance; Elections; Ethics; Transparency; Taxes; Illinois,Matt Dietrich,"December 4, 2017",https://www.politifact.com/factchecks/2017/dec/04/daniel-biss/biss-accurate-sarcastic-tax-hit-opponents-pritzker/
Thom Tillis,"November 29, 2017","The Senate GOP plan does not raise taxes for Americans earning less than $70,000.",half-true,press conference,North Carolina; Taxes,Paul Specht,"November 30, 2017",https://www.politifact.com/factchecks/2017/nov/30/thom-tillis/nc-sen-tillis-says-plan-wont-raise-taxes-americans/
Donald Trump,"November 29, 2017","Says the tax bill ""is going to cost me a fortune, this thing -- believe me. Believe me, this is not good for me.""",false,speech,National; Taxes,Louis Jacobson,"November 30, 2017",https://www.politifact.com/factchecks/2017/nov/30/donald-trump/will-gop-tax-bill-cost-donald-trump-fortune-no/
Donald Trump,"November 29, 2017","""For years, they have not been able to get tax cuts -- many, many years, since Reagan.""",pants-fire,speech,National; History; Taxes,Louis Jacobson,"November 30, 2017",https://www.politifact.com/factchecks/2017/nov/30/donald-trump/donald-trump-wrong-no-tax-cuts-passed-reagan/
Kevin Brady,"November 26, 2017","In the House Republican bill, ""70 percent of the tax relief goes to those families making less than 200,000.""",half-true,interview with Fox News' Maria Bartiromo,National; Taxes,Louis Jacobson,"November 30, 2017",https://www.politifact.com/factchecks/2017/nov/30/kevin-brady/does-70-percent-tax-bills-relief-go-those-making-u/
Nancy Pelosi,"November 27, 2017","The GOP tax plan ""Sabotages the health care of 13 MILLION Americans.""",half-true,tweet from her team's political account,Health Care; Taxes; California,Chris Nichols,"November 29, 2017",https://www.politifact.com/factchecks/2017/nov/29/nancy-pelosi/pelosis-problematic-claim-gop-tax-plan-sabotages-h/
Tim Scott,"November 26, 2017","""If you don't pay income taxes ... you'll have more money"" under the Republican tax plan.",false,"interview on ABC's ""This Week""",National; Health Care; Taxes,Louis Jacobson,"November 29, 2017",https://www.politifact.com/factchecks/2017/nov/29/tim-scott/if-you-pay-no-taxes-will-you-end-more-money-under-/
Marco Rubio,"November 26, 2017","""Close to half of the voters in America, the only tax they pay is the payroll tax.""",half-true,interview,Taxes; Florida,Allison Graves,"November 28, 2017",https://www.politifact.com/factchecks/2017/nov/28/marco-rubio/marco-rubio-wrongly-says-close-half-voters-america/
Donald Trump,"November 26, 2017","Says Alabama Senate candidate Doug Jones ""wants to raise taxes.""",mostly-false,tweet,National; Taxes,John Kruzel,"November 28, 2017",https://www.politifact.com/factchecks/2017/nov/28/donald-trump/donald-trump-falsely-claims-doug-jones-wants-raise/
Lloyd  Doggett,"November 20, 2017","Under the Republican tax bill, President Donald Trump ""and his family would walk off with more than a billion dollars personally.""",half-true,interview with Sinclair Broadcast Group,National; Taxes,Louis Jacobson,"November 27, 2017",https://www.politifact.com/factchecks/2017/nov/27/lloyd-doggett/how-much-does-trump-family-have-gain-gop-tax-bills/
John Larson,"November 10, 2017","Democrats on the House Ways and Means Committee weren’t ""even entitled to bring an expert witness on any aspect of the tax code that affects 100 percent of our economy.""",half-true,House Ways and Means Committee markup,National; Taxes,Louis Jacobson,"November 22, 2017",https://www.politifact.com/factchecks/2017/nov/22/john-larson/did-house-committee-bar-democratic-witnesses-gop-t/
NARAL Pro-Choice America,"November 15, 2017","Says Paul Ryan is leading the effort to ""pass a tax bill with divisive conception language by disguising it as a college savings plan"" in ""another attempt to ban abortion and rob women of their reproductive rights.""",half-true,online popup ad,Abortion; Education; Legal Issues; Women; Taxes; Wisconsin,Tom Kertscher,"November 22, 2017",https://www.politifact.com/factchecks/2017/nov/22/naral-pro-choice/house-tax-bill-contains-language-about-unborn-chil/
Rick Scott,"November 9, 2017","""We’ve cut taxes 75 times, cut $7.5 billion worth in taxes, and as a result we’ve added over 1.3 million jobs.""",half-true,Tampa news conference,State Budget; Taxes; Florida,Allison Graves,"November 21, 2017",https://www.politifact.com/factchecks/2017/nov/21/rick-scott/rick-scott-says-he-cut-taxes-75-times-created-13-m/
Steve Mnuchin,"November 19, 2017","""On the personal tax side, middle-income people are getting cuts and rich people are getting very little cuts or, in certain cases, increases"" under the Republican tax bills.",half-true,"interview on ""Fox News Sunday""",National; Taxes,Louis Jacobson,"November 20, 2017",https://www.politifact.com/factchecks/2017/nov/20/steve-mnuchin/steve-mnuchin-uses-partial-data-say-gop-tax-bill-t/
Brian Higgins,"November 3, 2017","""The elimination of income and sales taxes in New York is equal to 9 percent of taxable income, meaning that if you make $100,000 a year you lose $9,000""",false,remarks at a House hearing,Taxes; New York,Dan Clark,"November 20, 2017",https://www.politifact.com/factchecks/2017/nov/20/brian-higgins/not-all-state-and-local-tax-deductions-eliminated-/
Roger Falk,"November 3, 2017","Says the Austin school district ""enjoys the highest per-student funding of all large Texas districts"" even after forwarding tax revenue to the state.",false,oped commentary,Education; Taxes; Texas,W. Gardner Selby,"November 17, 2017",https://www.politifact.com/factchecks/2017/nov/17/roger-falk/taxpayer-incorrectly-says-austin-school-district-t/
John Thune,"November 15, 2017","""80 percent of the (individual mandate) tax falls on those who make $50,000 a year or less.""",mostly-true,interview on Fox News,National; Health Care; Taxes,Jon Greenberg,"November 17, 2017",https://www.politifact.com/factchecks/2017/nov/17/john-thune/sen-thune-individual-mandate-fine-falls-mainly-peo/
Andrew Cuomo,"November 14, 2017","Congressional Republicans ""want to take health care from millions of Americans in order to pay for"" a tax bill.",half-true,tweet,Health Care; Taxes; New York,Dan Clark,"November 16, 2017",https://www.politifact.com/factchecks/2017/nov/16/andrew-cuomo/what-impact-will-eliminating-individual-mandate-ha/
John Cox,"October 21, 2017","Californians pay ""the highest electricity bills"" in the nation.",false,Capital Public Radio interview,Energy; Gas Prices; State Budget; States; The 2018 California Governor's Race; Taxes; California,Chris Nichols,"November 16, 2017",https://www.politifact.com/factchecks/2017/nov/16/john-cox/does-california-have-highest-electricity-bills-nat/
Donald Trump,"November 13, 2017","Says the individual mandate is ""highly unpopular.""",half-true,tweet,National; Health Care; Taxes,Jon Greenberg,"November 14, 2017",https://www.politifact.com/factchecks/2017/nov/14/donald-trump/how-unpopular-obamacare-individual-mandate/
Richard Durbin,"November 12, 2017","The Republican tax bill is ""not being scored by the Congressional Budget Office, as it is traditionally.""",false,"interview on CNN's ""State of the Union""",National; Corrections and Updates; Taxes,Louis Jacobson,"November 13, 2017",https://www.politifact.com/factchecks/2017/nov/13/richard-durbin/dick-durbin-wrong-gop-tax-bill-hasnt-had-independe/
American Action Network,"November 7, 2017","Says the Republican tax plan ""helps families"" like one in which a woman lost her job and then lost her life savings fighting her husband’s cancer.",half-true,ad,National; Taxes,Louis Jacobson,"November 13, 2017",https://www.politifact.com/factchecks/2017/nov/13/american-action-network/how-would-gop-tax-bills-affect-families-strapped-b/
Kevin McCarthy,"November 5, 2017","The Republican tax bill ""lets every American keep more of what they earned.""",false,"interview on CBS' ""Face the Nation""",National; Taxes,Louis Jacobson,"November 9, 2017",https://www.politifact.com/factchecks/2017/nov/09/kevin-mccarthy/will-every-american-get-tax-cut-house-gop-bill/
Dianne Feinstein,"November 6, 2017","""Teachers spend $1.6 BILLION per year on school supplies. The Republican tax bill ELIMINATES their ability to deduct those expenses.""",half-true,tweet,National; Corrections and Updates; Education; Taxes,Louis Jacobson,"November 7, 2017",https://www.politifact.com/factchecks/2017/nov/07/dianne-feinstein/closer-look-classroom-expenses-deduction-teachers-/
Markwayne Mullin,"November 3, 2017","""Under the Tax Cuts and Jobs Act, the average American family of four will receive a $1,182 tax cut.""",mostly-true,post on a congressional office website,National; Taxes,Jon Greenberg,"November 7, 2017",https://www.politifact.com/factchecks/2017/nov/07/markwayne-mullin/oklahoma-rep-mullin-says-average-family-would-save/
Drew Ferguson,"November 5, 2017","Under the House Republican tax proposal, ""the average family of four earning median income ($59,000/year) will receive an additional $1,182 in their pocket every year.""",half-true,email to a constituent,Georgia; Taxes,Louis Jacobson,"November 6, 2017",https://www.politifact.com/factchecks/2017/nov/06/drew-ferguson/georgia-congressman-says-gop-tax-bill-will-save-ty/
Patrick Morrisey,"October 12, 2017","Says Evan ""Jenkins has the same positions on the issues as Joe Manchin: supporting Hillary (Clinton), supporting cap-and-trade, supporting Planned Parenthood, many tax increases.""",mostly-false,radio interview,Abortion; Environment; National; Candidate Biography; Corrections and Updates; Taxes,Manuela Tobias,"November 6, 2017",https://www.politifact.com/factchecks/2017/nov/06/patrick-morrisey/do-joe-manchin-and-evan-jenkins-support-clinton-ca/
Paul Ryan,"November 3, 2017","""With this plan, the typical family of four will save $1,182 a year on their taxes.""",half-true,speech,National; Corrections and Updates; Families; Taxes,Louis Jacobson,"November 3, 2017",https://www.politifact.com/factchecks/2017/nov/03/paul-ryan/would-house-gop-tax-plan-save-typical-family-1182/
Freedom Partners,"October 26, 2017","""Tammy Baldwin voted for $5 trillion in higher taxes.""",half-true,TV ads,Federal Budget; Taxes; Wisconsin,Tom Kertscher,"November 1, 2017",https://www.politifact.com/factchecks/2017/nov/01/freedom-partners/koch-backed-group-half-true-claiming-tammy-baldwin/
James Lankford,"October 22, 2017","""For the last 10 years, our economy has grown at less than 2 percent on average every single year for 10 years. We have not had a decade like that in a century in America.""",half-true,"interview on ""Face the Nation""",National; Economy; Taxes,Jon Greenberg,"October 31, 2017",https://www.politifact.com/factchecks/2017/oct/31/james-lankford/lankford-overstates-slow-growth-past-100-years/
Mark Pocan,"October 18, 2017","What Republicans call the ""death tax"" is the estate tax ""on the ultra wealthy"" which, in 2016, was paid by only ""two out of every 1,000 people.""",true,interview,Income; Wealth; Taxes; Wisconsin,Tom Kertscher,"October 27, 2017",https://www.politifact.com/factchecks/2017/oct/27/mark-pocan/death-tax-republicans-want-repeal-paid-only-2-1000/
Donald Trump,"October 25, 2017","Says the GOP plan he supports is ""the biggest tax cut in U.S. history.""",false,tweet,National; Taxes,Louis Jacobson,"October 26, 2017",https://www.politifact.com/factchecks/2017/oct/26/donald-trump/donald-trump-wrong-his-tax-plan-biggest-cut-ever/
Travis Forward,"October 23, 2017","""The Travis County propositions will not raise your taxes! If you are 65 or older, your property taxes are frozen.""",false,mailer advocating voter approval of Travis County bond propositions,County Budget; County Government; Taxes; Texas,W. Gardner Selby,"October 25, 2017",https://www.politifact.com/factchecks/2017/oct/25/travis-forward/travis-forward-pac-inaccurately-says-proposed-coun/
Nancy Pelosi,"October 12, 2017","The state and local tax deduction is a major benefit for moderate-income households because ""50% of households that claim State & Local Tax deduction make under $100K.""",mostly-true,tweet,National; Taxes,Louis Jacobson,"October 20, 2017",https://www.politifact.com/factchecks/2017/oct/20/nancy-pelosi/do-moderate-income-families-benefit-more-state-and/
Lloyd  Doggett,"September 30, 2017","Says ""80 percent of the tax breaks in"" President Donald Trump’s tax-cut ""proposal go to the top 1 percent, that is, people making more than $730,000 a year.""",half-true,House floor remarks,Taxes; Texas,W. Gardner Selby,"October 20, 2017",https://www.politifact.com/factchecks/2017/oct/20/lloyd-doggett/lloyd-doggett-says-80-percent-republican-sought-ta/
Marco Rubio,"October 15, 2017","""The child tax credit, if we don't do it, there will be no tax relief for working families. How much tax relief working families get under tax reform is entirely dependent on whether or not we put in place an increase to the child tax credit.""",mostly-true,interview with Channel 8,Taxes; Florida,Allison Graves,"October 19, 2017",https://www.politifact.com/factchecks/2017/oct/19/marco-rubio/rubio-says-child-tax-credit-key-amount-tax-relief-/
Donald Trump,"October 17, 2017","""We're the highest developed nation taxed in the world.""",false,interview with E.W. Scripps television,National; Taxes,Jon Greenberg,"October 18, 2017",https://www.politifact.com/factchecks/2017/oct/18/donald-trump/once-again-trump-overstates-us-tax-ranking/
Roy Blunt,"September 8, 2017","""Our tax code has nearly doubled since 1985.""",true,tweet,Taxes; Missouri,Katelyn  Brown,"October 17, 2017",https://www.politifact.com/factchecks/2017/oct/17/roy-blunt/tax-code-so-long-nobodys-really-sure-its-length/
Paul Ryan,"September 27, 2017","The Republican tax reform proposal is focused on tax breaks for the middle class ""and not about people who are really high-income earners getting a tax break.""",mostly-false,interview,Income; Wealth; Taxes; Wisconsin,Tom Kertscher,"October 13, 2017",https://www.politifact.com/factchecks/2017/oct/13/paul-ryan/gop-tax-reform-framework-aimed-giving-break-middle/
Donald Trump,"October 10, 2017","The NFL is ""getting massive tax breaks.""",mostly-true,tweet,National; Baseball; Federal Budget; Sports; Taxes,Manuela Tobias,"October 12, 2017",https://www.politifact.com/factchecks/2017/oct/12/donald-trump/nfl-getting-massive-tax-breaks-donald-trump-said/
Charles Schumer,"October 1, 2017","Trump’s tax plan is ""completely focused on the wealthy and the powerful - not the middle class.""",false,interview on CBS' Face the Nation,Economy; Taxes; New York,Dan Clark,"October 9, 2017",https://www.politifact.com/factchecks/2017/oct/09/charles-schumer/does-trumps-tax-plan-do-nothing-low-income-earners/
Charles Schumer,"October 4, 2017","""The Republicans are proposing to pay for their giant tax cut to the rich by gutting Medicare and Medicaid.""",half-true,Senate floor speech,National; Health Care; Medicaid; Medicare; Taxes,Louis Jacobson,"October 6, 2017",https://www.politifact.com/factchecks/2017/oct/06/charles-schumer/are-republicans-paying-tax-cuts-reductions-medicar/
Michael Bloomberg,"September 18, 2017","""The soda tax can make a difference by reducing consumption of unhealthy soda pop and sugary beverages.""",mostly-true,website,Health Care; Medicaid; Public Health; Taxes; Illinois,Matt Dietrich,"October 2, 2017",https://www.politifact.com/factchecks/2017/oct/02/michael-bloomberg/cook-county-soda-tax-should-make-dent-consumption/
Lamar Smith,"September 18, 2017","""The average tax bill for Americans in 2016 was a 41 percent increase from 2013.""",half-true,letter to a constituent,National; Taxes,Louis Jacobson,"September 29, 2017",https://www.politifact.com/factchecks/2017/sep/29/lamar-smith/did-taxes-go-41-percent-between-2013-and-2016/
Donald Trump,"September 27, 2017","Says ""No, I don't benefit, I don't benefit"" from his tax proposal.",false,interview with reporters,National; Taxes,Louis Jacobson,"September 28, 2017",https://www.politifact.com/factchecks/2017/sep/28/donald-trump/donald-trumps-dubious-claim-his-tax-plan-wont-bene/
Donald Trump,"September 27, 2017","Ending the estate tax would ""protect millions of small businesses and the American farmer.""",pants-fire,speech,Agriculture; National; Small Business; Taxes,Louis Jacobson,"September 28, 2017",https://www.politifact.com/factchecks/2017/sep/28/donald-trump/donald-trumps-pants-fire-claim-about-estate-tax-sm/
Andrew Koenig,"August 30, 2017","""The bill that I carried cutting MO’s income tax for 1st time in over 100 years will start its 1st phase in jan 1 2018. #moleg @Eric_Schmitt""",mostly-true,tweet,Taxes; Missouri,Katelyn  Brown,"September 26, 2017",https://www.politifact.com/factchecks/2017/sep/26/andrew-koenig/first-cut-missouri-income-tax-over-100-years/
Bruce Rauner,"September 7, 2017","""Even with a permanent income tax increase... the budget is more than $1 billion out of balance…""",mostly-true,a press release,State Budget; Taxes; Illinois,Matt Dietrich,"September 20, 2017",https://www.politifact.com/factchecks/2017/sep/20/bruce-rauner/rauners-right-illinois-budget-balancing-act-ongoin/
Paul Ryan,"September 1, 2017","""We've got about $3 trillion in trapped cash overseas that basically can't come back in this country because of our tax laws.""",mostly-true,interview,Corporations; Taxes; Wisconsin,Tom Kertscher,"September 15, 2017",https://www.politifact.com/factchecks/2017/sep/15/paul-ryan/paul-ryan-35-corporate-tax-rate-keeps-3-trillion-t/
Andy Gronik,"September 5, 2017","Wisconsin is ""guaranteeing Foxconn almost $3 billion, but Foxconn is not contractually guaranteeing how many full-time employees it will hire, for how long and at what pay.""",half-true,op-ed,Corporations; Economy; Jobs; Taxes; Wisconsin,Tom Kertscher,"September 12, 2017",https://www.politifact.com/factchecks/2017/sep/12/andy-gronik/wisconsin-guaranteeing-nearly-3-billion-foxconn-no/
Karen Handel,"August 30, 2017","""The Affordable Care Act is the single largest tax increase in my lifetime.""",false,telephone town hall,Georgia; Corrections and Updates; Health Care; Taxes,Jon Greenberg,"September 11, 2017",https://www.politifact.com/factchecks/2017/sep/11/karen-handel/handel-wrong-size-obamacare-taxes/
Donald Trump,"September 3, 2017","""In 1986, President Ronald Reagan"" cut the business tax rate to 34 percent and ""it worked -- our economy boomed, the middle class thrived and median family income increased.""",mostly-false,op-ed,Corporations; Economy; Income; Taxes; Wisconsin,Tom Kertscher,"September 6, 2017",https://www.politifact.com/factchecks/2017/sep/06/donald-trump/milwaukee-op-ed-donald-trump-overstates-economic-i/
Paul Ryan,"August 21, 2017","Says Aaron Rodgers ""is not the highest tax rate payer"" in Wisconsin, it's ""the single mom getting 24 grand in benefits with two kids who will lose 80 cents on the dollar if she goes and takes a job.""",mostly-false,town hall,Jobs; Poverty; Welfare; Taxes; Wisconsin,Tom Kertscher,"September 1, 2017",https://www.politifact.com/factchecks/2017/sep/01/paul-ryan/paul-ryan-says-single-mom-who-takes-job-not-packer/
Senate Leadership Fund,"August 22, 2017","Says Kelli Ward hosted a town hall on ""chemtrail conspiracy theories"" and is open to sponsoring chemtrails legislation.",mostly-false,an ad,National; Candidate Biography; Congress; Public Health; Public Safety; Science; Taxes,Manuela Tobias,"August 25, 2017",https://www.politifact.com/factchecks/2017/aug/25/senate-leadership-fund/no-kelli-ward-isnt-chemtrails-conspiracy-theorist/
David Frum,"August 21, 2017","""No president in history has imposed larger personal lifestyle costs on the taxpayer than Donald Trump.""",mostly-false,tweet,Corrections and Updates; Ethics; Families; Federal Budget; Taxes; PunditFact,Manuela Tobias,"August 23, 2017",https://www.politifact.com/factchecks/2017/aug/23/david-frum/are-trumps-travels-imposing-historic-costs-taxpaye/
John Moorlach,"August 4, 2017","""Crime has been getting worse since Jerry Brown was elected governor.""",mostly-false,op-ed,Corrections and Updates; Criminal Justice; Crime; Taxes; California,Chris Nichols,"August 22, 2017",https://www.politifact.com/factchecks/2017/aug/22/john-moorlach/has-crime-been-getting-worse-jerry-brown-was-elect/
Jennifer  Shilling,"August 14, 2017","""Foxconn tax break could exceed $1 million per job.""",half-true,press release,Corporations; Jobs; State Budget; Technology; Taxes; Wisconsin,Tom Kertscher,"August 16, 2017",https://www.politifact.com/factchecks/2017/aug/16/jennifer-shilling/wisconsin-paying-foxconn-1-million-job-possible-if/
One Wisconsin Now,"August 7, 2017","Wisconsin's $3 billion incentive offer to Foxconn is ""the largest gift ever by a state to a foreign company.""",half-true,tweet,Jobs; State Budget; States; Technology; Taxes; Wisconsin,Tom Kertscher,"August 15, 2017",https://www.politifact.com/factchecks/2017/aug/15/one-wisconsin-now/wisconsins-3-billion-offer-foxconn-gift-and-it-lar/
Melissa Sargent,"August 2, 2017","On Foxconn deal, ""3,000 jobs cost #WI taxpayers more than $3 billion in tax giveaways. Break it down: more than $1 million in taxpayer dollars per job.""",false,tweet,Economy; Jobs; Technology; Taxes; Wisconsin,Tom Kertscher,"August 11, 2017",https://www.politifact.com/factchecks/2017/aug/11/melissa-sargent/wisconsin-offering-pay-taiwan-tech-firm-foxconn-1-/
Scott Wagner,"August 2, 2017",Eighty percent of the school tax bills in the state of Pennsylvania went up over last year.,half-true,campaign video.,Education; Taxes; Pennsylvania,Anna Orso,"August 9, 2017",https://www.politifact.com/factchecks/2017/aug/09/scott-wagner/campaign-video-pa-gov-candidate-scott-wagner-takes/
Illinois Policy Institute,"August 3, 2017",The new tax will make soda sold in Chicago among the most expensive in the country.,true,tweet,Taxes; Illinois,Matt Dietrich,"August 7, 2017",https://www.politifact.com/factchecks/2017/aug/07/illinois-policy-institute/chicago-soda-tax-throws-batting-practice-fastball-/
Donald Trump,"July 25, 2017","Untaxed corporate earnings used to be ""$2.5 trillion … I guess it’s $5 trillion now. Whatever it is, it’s a lot more. So we have anywhere from 4 (trillion) to 5 or even more trillions of dollars sitting offshore.""",false,interview,National; Corporations; Taxes,Manuela Tobias,"August 3, 2017",https://www.politifact.com/factchecks/2017/aug/03/donald-trump/are-there-over-4-trillion-untaxed-corporate-earnin/
Paul Mango,"July 24, 2017","""As Governor, Wolf has already proposed more than $8B in tax increases.""",half-true,Facebook post,Taxes; Pennsylvania,Sarah Anne Hughes,"August 2, 2017",https://www.politifact.com/factchecks/2017/aug/02/paul-mango/truth-behind-new-gop-gov-hopefuls-wolf-nickname-th/
One Wisconsin Now,"July 28, 2017","Says Scott Walker ""wants state taxpayers to dole out up to $250 million annually in incentives"" to Foxconn ""to lure a manufacturing plant to Wisconsin that he claims will generate $181 million in tax revenue.""",half-true,blog post,China; Economy; Jobs; Taxes; Wisconsin,Tom Kertscher,"August 2, 2017",https://www.politifact.com/factchecks/2017/aug/02/one-wisconsin-now/wisconsin-offering-pay-more-it-will-collect-taxes-/
Donald Trump,"July 24, 2017","Amazon has a ""no-tax monopoly.""",pants-fire,Twitter,National; Corporations; Taxes,John Kruzel,"July 26, 2017",https://www.politifact.com/factchecks/2017/jul/26/donald-trump/amazon-no-tax-monopoly-donald-trump-said/
Kevin McCarthy,"July 11, 2017","""More people, almost twice as many, pay the penalty or take the waiver than signed up for (Obamacare).""",false,interview with Fox Business,Health Care; Public Health; Taxes; California,Chris Nichols,"July 21, 2017",https://www.politifact.com/factchecks/2017/jul/21/kevin-mccarthy/kevin-mccarthys-false-claim-obamacare-sign-ups/
John Faso,"July 15, 2017","""We now have about one-third of New York’s population on Medicaid.""",true,article,Health Care; Medicaid; Taxes; New York,Dan Clark,"July 21, 2017",https://www.politifact.com/factchecks/2017/jul/21/john-faso/one-three-people-new-york-are-medicaid/
George Will,"July 12, 2017","""America has more people employed as tax preparers (1.2 million) than as police and firefighters.""",false,column,Taxes; PunditFact,Manuela Tobias,"July 18, 2017",https://www.politifact.com/factchecks/2017/jul/18/george-will/do-tax-preparers-outnumber-firefighters-and-police/
Scott Walker,"May 17, 2017","Tax cuts approved and those proposed in his state budget ""will exceed $8 billion by the time the budget is done.""",true,radio interview,Taxes; Wisconsin,Alan Hovorka,"July 12, 2017",https://www.politifact.com/factchecks/2017/jul/12/scott-walker/walker-tax-cuts-will-exceed-8-billion-if-budget-pr/
Travis Allen,"June 22, 2017","California taxes are ""among the highest in the nation.""",mostly-true,campaign video,State Budget; States; The 2018 California Governor's Race; Taxes; California,Chris Nichols,"July 11, 2017",https://www.politifact.com/factchecks/2017/jul/11/travis-allen/mostly-true-californias-taxes-among-highest-nation/
Chris Murphy,"June 26, 2017","Says because of Donald Trump, ""the IRS decided to stop enforcing the individual mandate that was the underpinning of the ACA. That has resulted in insurance companies all across the country jacking their rates up, explicitly because they don't believe that healthy people will buy insurance.""",mostly-false,video,National; Health Care; Taxes,Manuela Tobias,"July 10, 2017",https://www.politifact.com/factchecks/2017/jul/10/chris-murphy/donald-trump-responsible-rising-health-insurance-p/
Raymond Walter,"June 23, 2017","""Western New Yorkers pay some of the highest property taxes in the state.""",half-true,press release,Taxes; New York,Dan Clark,"July 7, 2017",https://www.politifact.com/factchecks/2017/jul/07/raymond-walter/where-are-property-taxes-highest-new-york/
Scott Walker,"June 5, 2017","When he was Milwaukee County executive, ""eight years in a row we pushed through budgets that did not increase the tax levy from the previous year.""",mostly-false,interview,County Budget; County Government; Taxes; Wisconsin,Tom Kertscher,"June 30, 2017",https://www.politifact.com/factchecks/2017/jun/30/scott-walker/milwaukee-county-executive-scott-walker-didnt-hold/
Barack Obama,"June 22, 2017","The Senate bill ""hands enormous tax cuts to the rich and to the drug and insurance industries, paid for by cutting health care for everybody else.""",mostly-true,Facebook post,National; Health Care; Taxes,John Kruzel,"June 26, 2017",https://www.politifact.com/factchecks/2017/jun/26/barack-obama/obama-blasts-gop-senate-bill-tax-cut-rich-health-c/
Scott Walker,"May 18, 2017","""Property taxes are lower right now than they were"" in December 2010 on a median-valued home in Wisconsin.",mostly-true,radio interview,Housing; State Budget; Taxes; Wisconsin,Tom Kertscher,"June 7, 2017",https://www.politifact.com/factchecks/2017/jun/07/scott-walker/property-taxes-lower-typical-wisconsin-home-under-/
Mike  McCabe,"May 21, 2017","""When you look at all the state and local taxes we pay in Wisconsin, the wealthiest 1 percent pay the lowest overall tax rate.""",mostly-true,interview,City Government; County Government; Income; States; Wealth; Taxes; Wisconsin,Tom Kertscher,"June 2, 2017",https://www.politifact.com/factchecks/2017/jun/02/mike-mccabe/richest-1-percent-pay-lowest-rate-state-and-local/
Bernie Sanders,"May 25, 2017","Says President Donald ""Trump’s budget gives a $100 billion tax break to three of the wealthiest families.""",mostly-false,tweet,National; Taxes,Smitha Rajan,"May 31, 2017",https://www.politifact.com/factchecks/2017/may/31/bernie-sanders/bernie-sanders-inflates-trump-tax-plan-benefits-bi/
Mark Pocan,"May 24, 2017","In Wisconsin’s school voucher program, ""two-thirds of the money"" in the ""tax vouchers"" went to people ""making more than $100,000.""",false,hearing,Education; Poverty; State Budget; Urban; Taxes; Wisconsin,Tom Kertscher,"May 31, 2017",https://www.politifact.com/factchecks/2017/may/31/mark-pocan/mark-pocans-errant-claim-about-tax-breaks-wisconsi/
Dan Patrick,"May 17, 2017","Says Texas tax legislation would ""save the average homeowner in Texas $20,000 a year over the next 20 years or so.""",pants-fire,remarks to reporters,Corrections and Updates; Taxes; Texas,W. Gardner Selby,"May 23, 2017",https://www.politifact.com/factchecks/2017/may/23/dan-patrick/dan-patricks-20000-tax-savings-claim-proves-incorr/
Chris Murphy,"May 12, 2017","""Law firm @POTUS used to show he has no ties to Russia was named Russia Law Firm of the Year for their extensive ties to Russia. Unreal.""",mostly-true,Twitter,National; Elections; Taxes,John Kruzel,"May 16, 2017",https://www.politifact.com/factchecks/2017/may/16/chris-murphy/donald-trump-chris-murphy-russian-law-firm-year/
Donald Trump,"May 11, 2017","The federal tax code includes ""deductions for birds flying across America.""",true,interview with 'The Economist',Environment; National; Animals; Taxes,Louis Jacobson,"May 15, 2017",https://www.politifact.com/factchecks/2017/may/15/donald-trump/donald-trump-mentions-tax-deductions-birds-flying-/
Sean Duffy,"May 9, 2017",The Republican replacement for Obamacare does not give massive tax cuts to wealthy Americans.,false,interview,Health Care; Income; Public Health; Wealth; Taxes; Wisconsin,Tom Kertscher,"May 12, 2017",https://www.politifact.com/factchecks/2017/may/12/sean-duffy/republican-replacement-obamacare-does-not-contain-/
Don Huffines,"February 27, 2017","""Sixty-two percent of all (Texas) property taxes are paid by businesses.""",half-true,responding to a question about private school vouchers,Education; Small Business; Taxes; Texas,Forrest Milburn,"May 5, 2017",https://www.politifact.com/factchecks/2017/may/05/don-huffines/don-huffines-overstates-share-texas-property-taxes/
Nancy Pelosi,"April 27, 2017","""The ‘tax plan’ rolled out by @realDonaldTrump would have cut his taxes by $30 million in 2005 (the only year we have returns for).""",mostly-true,tweet,National; Candidate Biography; Taxes,Louis Jacobson,"April 28, 2017",https://www.politifact.com/factchecks/2017/apr/28/nancy-pelosi/nancy-pelosi-target-about-what-donald-trump-might-/
Rana Foroohar,"April 26, 2017","""There's no real evidence in the last 20 years that"" growth from tax cuts has made up lost revenue.",true,CNN interview,Taxes; PunditFact,John Kruzel,"April 28, 2017",https://www.politifact.com/factchecks/2017/apr/28/rana-foroohar/trumps-tax-plan-prompts-question-can-tax-cuts-real/
Steve Mnuchin,"April 27, 2017","Says President Donald Trump ""has given more financial disclosure than anybody else.""",false,April 26 press conference,National; Taxes,Allison Graves,"April 27, 2017",https://www.politifact.com/factchecks/2017/apr/27/steve-mnuchin/no-trump-has-not-given-more-financial-disclosure-a/
Bruce Rauner,"March 15, 2017","""Our families have the highest property taxes in the country. We must change this.""",mostly-true,a tweet,Taxes; Illinois,Anna Bruzgulis,"April 20, 2017",https://www.politifact.com/factchecks/2017/apr/20/bruce-rauner/how-true-gov-rauners-property-tax-claim/
