statement_originator,statement_date,statement,verdict,statement_source,tags,factchecker,factcheck_date,factcheck_analysis_link
Richard Durbin,"February 4, 2021","“More than 200,000 DACA recipients are essential infrastructure workers” including “41,700 DACA recipients in the healthcare industry”",mostly-true,Senate speech,Immigration; Congress; Coronavirus,Amy Sherman,"February 9, 2021",https://www.politifact.com/factchecks/2021/feb/09/richard-durbin/how-many-daca-recipients-are-essential-workers-ami/
Tom Cotton,"February 1, 2021","""A lot of these migrants that are coming, we have no way to screen their backgrounds for either health or for security.""",false,Fox & Friends interview,Immigration; Homeland Security; Public Health; Coronavirus,Miriam Valverde,"February 3, 2021",https://www.politifact.com/factchecks/2021/feb/03/tom-cotton/tom-cotton-wrong-theres-no-way-screen-immigrants/
Facebook posts,"November 18, 2018",Says Maxine Waters said Trump supporters are “not welcome here” and “we must welcome everyone who crosses our borders.”,mostly-false,Facebook post,Immigration; California,Tom Kertscher,"January 25, 2021",https://www.politifact.com/factchecks/2021/jan/25/facebook-posts/no-calif-rep-maxine-waters-didnt-say-trump-support/
Restoration PAC,"January 20, 2021",Says President Joe Biden sparked a migrant caravan from Honduras and questioned the loyalty of U.S. troops at the inauguration.,mostly-false,post,Immigration; Military; Facebook Fact-checks,Monique Curet,"January 25, 2021",https://www.politifact.com/factchecks/2021/jan/25/restoration-pac/biden-didnt-spark-migrant-caravan-question-loyalty/
David Perdue,"December 7, 2020","Says Jon Ossoff ""wants total, blanket amnesty and he wants a total lockdown.""",mostly-false,interview,Georgia; Immigration; Public Health; Coronavirus,Tom Kertscher,"December 14, 2020",https://www.politifact.com/factchecks/2020/dec/14/david-perdue/jon-ossoff-isnt-total-amnesty-backs-lockdown-only-/
Donald Trump,"December 2, 2020",“No state in the country verifies United States citizenship as a condition for voting in federal elections.”,mostly-false,speech,Immigration; Elections,Amy Sherman,"December 7, 2020",https://www.politifact.com/factchecks/2020/dec/07/donald-trump/do-states-verify-citizenship-voters-federal-electi/
Joni Ernst,"September 28, 2020",“I have been very clear with DACA. Even in my campaign six years ago I stood for those Dreamers.”,half-true,debate,Immigration; Corrections and Updates; Iowa,Madison Black,"October 29, 2020",https://www.politifact.com/factchecks/2020/oct/29/joni-ernst/joni-ernst-said-she-stood-dreamers-hasnt-always-su/
Facebook posts,"October 23, 2020",Says Donald Trump said “good” during the final presidential debate in reference to families being separated at the border.,false,image,Immigration; National; Facebook Fact-checks,Daniel Funke,"October 23, 2020",https://www.politifact.com/factchecks/2020/oct/23/facebook-posts/trump-did-not-say-good-when-talking-about-family-s/
Facebook posts,"May 30, 2020",“Federal law requires people to speak English to be naturalized as American citizens.”,mostly-true,post,Immigration; National; Facebook Fact-checks,Ilana Strauss,"October 19, 2020",https://www.politifact.com/factchecks/2020/oct/19/facebook-posts/foreign-nationals-pass-english-test-gain-american-/
Donald Trump,"October 15, 2020","Changes to DACA during his administration are ""because of the pandemic.""",false,NBC town hall,Immigration; Homeland Security,Miriam Valverde,"October 16, 2020",https://www.politifact.com/factchecks/2020/oct/16/donald-trump/donald-trumps-false-claim-daca-changes-because-pan/
Mark Kelly,"October 6, 2020",Says Martha McSally “voted to take away money from Fort Huachuca to pay for the border wall.”,half-true,debate,Immigration; Homeland Security; Military,Miriam Valverde,"October 14, 2020",https://www.politifact.com/factchecks/2020/oct/14/mark-kelly/kellys-claim-mcsally-voted-take-money-az-military-/
John Cornyn,"September 12, 2020",Says he “strongly supports legalization for Dreamers.”,half-true,advertisement,Immigration; Children; Texas,Brandon Mulder,"October 3, 2020",https://www.politifact.com/factchecks/2020/oct/03/john-cornyn/cornyn-dreamers-record/
Donald Trump,"September 16, 2020",Says Joe Biden “tried to cut Social Security and Medicare for decades. … Now Biden’s promising your benefits to illegal immigrants.”,mostly-false,campaign ad,Immigration; Health Care; Medicare; Social Security,Miriam Valverde,"September 24, 2020",https://www.politifact.com/factchecks/2020/sep/24/donald-trump/donald-trump-ad-distorts-bidens-record-social-secu/
NumbersUSA,"September 13, 2020","“Nearly 2 out of 3 Americans want to reduce legal immigration from 1 million per year down to 500,000 or less.”",half-true,Facebook post,Immigration; Polls and Public Opinion,Miriam Valverde,"September 21, 2020",https://www.politifact.com/factchecks/2020/sep/21/numbers-usa/fact-checking-facebook-post-about-polling-legal-im/
Lucy McBath,"September 9, 2020","Says Karen Handel voted with Donald Trump, ""gutting health care for millions, supporting horrific child separation policies"" and for ""abortion bans.""",half-true,ad,Abortion; Georgia; Immigration; Border Security; Health Care,Tom Kertscher,"September 14, 2020",https://www.politifact.com/factchecks/2020/sep/14/lucy-mcbath/tying-trump-backer-karen-handel-trump-lucy-mcbath-/
Donald Trump,"August 27, 2020",Says Joe Biden “is even talking about taking the wall down.”,false,speech at the RNC,Immigration; Homeland Security,Miriam Valverde,"August 28, 2020",https://www.politifact.com/factchecks/2020/aug/28/donald-trump/donald-trumps-false-rnc-claim-about-joe-biden-and-/
Robert Ortt,"July 20, 2020",Says Gov. Andrew Cuomo and Democratic lawmakers are “granting free tuition to illegal immigrants while closing Excelsior Scholarship applications to citizen students.”,mostly-false,news release,Immigration; Education,John Pullano,"August 20, 2020",https://www.politifact.com/factchecks/2020/aug/20/robert-ortt/new-york-republican-leader-miscasts-democratic-mov/
Joe Biden,"August 6, 2020","Asked about asylum seekers in camps in Mexico, “This is the first time ever you've had to seek asylum in a third country.”",mostly-true,interview with members of NAHJ and NABJ,Immigration; Homeland Security,Miriam Valverde,"August 12, 2020",https://www.politifact.com/factchecks/2020/aug/12/joe-biden/fact-checking-joe-bidens-claim-asylum-seekers-mexi/
Facebook posts,"July 23, 2020",“California has six extra” congressional representatives “because illegals are counted” in the census.,mostly-false,Facebook post,Immigration; Census; California; Facebook Fact-checks,Tom Kertscher,"August 6, 2020",https://www.politifact.com/factchecks/2020/aug/06/facebook-posts/calif-has-extra-us-house-seats-because-illegals-no/
Facebook posts,"July 9, 2020 in","Say that according to the Los Angeles Times, “95% of warrants for murder in Los Angeles are for illegal aliens,” more than two-thirds of all births in Los Angeles County “are to illegal alien Mexicans” on Medicaid, “nearly 60% of all occupants of HUD properties are illegal,” and Nancy Pelosi “wants to put a windfall tax” on retirement fund profits.",pants-fire,on social media,Immigration; Children; Housing; Crime; Race and Ethnicity; Retirement; Taxes; California; Facebook Fact-checks,Louis Jacobson,"July 29, 2020",https://www.politifact.com/factchecks/2020/jul/29/facebook-posts/debunking-14-year-old-post-immigrants-los-angeles/
Donald Trump,"July 14, 2020","Under Joe Biden’s policy, immigrants in the country illegally “get welfare benefits. United States citizens don't get what they're looking to give illegal immigrants.”",false,White House speech,Immigration; Welfare,Miriam Valverde,"July 17, 2020",https://www.politifact.com/factchecks/2020/jul/17/donald-trump/donald-trump-gives-false-version-joe-biden-bernie-/
Chris  Hayes,"July 7, 2020","""Higher education is one of America's strongest export sectors. Over 1 million international students studied at American universities, (in the) 2018-19 school year. They contributed over $40 billion to the economy.”",true,TV segment,Immigration; Economy; Education; Pundits; Trade; PunditFact; Coronavirus,Bill McCarthy,"July 10, 2020",https://www.politifact.com/factchecks/2020/jul/10/chris-hayes/msnbcs-chris-hayes-right-economic-impact-internati/
Nancy Pelosi,"June 23, 2020","“80% of the American people support our Dreamers. Over 70% think they should have a path to citizenship, and that's Democrats, Republicans, independents.”",mostly-true,Telemundo interview,Immigration; Homeland Security; Polls and Public Opinion,Miriam Valverde,"June 26, 2020",https://www.politifact.com/factchecks/2020/jun/26/nancy-pelosi/fact-checking-nancy-pelosis-claim-high-public-supp/
Donald Trump,"May 19, 2020","“On the Southern border, as you know, the wall is going up, it's going up very rapidly. We're at 182 miles.”",half-true,speech,Immigration; Border Security; Homeland Security,Miriam Valverde,"May 20, 2020",https://www.politifact.com/factchecks/2020/may/20/donald-trump/facts-donald-trumps-claim-182-miles-border-wall-co/
Donald Trump,"May 14, 2020","Speaking about border apprehensions, said “We have some of the best numbers we've ever had. Southern border, the best numbers we've ever had.”",half-true,interview with Fox Business,Immigration; Border Security; Homeland Security,Miriam Valverde,"May 20, 2020",https://www.politifact.com/factchecks/2020/may/20/donald-trump/fact-checking-donald-trumps-claim-best-numbers-bor/
Facebook posts,"May 12, 2020","“Pelosi’s new coronavirus bill allows illegals to receive billions in relief funds in past, current, and future payments.”",mostly-true,Facebook post,Immigration; Economy; Facebook Fact-checks; Coronavirus,Miriam Valverde,"May 18, 2020",https://www.politifact.com/factchecks/2020/may/18/facebook-posts/house-coronavirus-bill-would-aid-immigrants-relati/
Chris Murphy,"May 11, 2020","Says President Donald Trump implemented “a travel ban that just didn't work, 400,000 people got in from those countries that were subject to the restrictions.”",false,MSNBC interview,Immigration; China; Public Health; Coronavirus,Bill McCarthy,"May 13, 2020",https://www.politifact.com/factchecks/2020/may/13/chris-murphy/sen-chris-murphy-overstates-travel-china-after-tru/
Kirsten Gillibrand,"April 21, 2020",“Immigrants make up a majority of essential workers in places like New York City.”,mostly-true,tweet,Immigration; Workers; Coronavirus; New York,Jaren Holmes,"May 7, 2020",https://www.politifact.com/factchecks/2020/may/07/kirsten-gillibrand/do-immigrants-make-majority-essential-workers-new-/
Facebook posts,"April 23, 2020",“Trump and McConnell are blocking stimulus checks for Americans married to immigrants.”,mostly-false,Facebook post,Immigration; Economy; Facebook Fact-checks; Coronavirus,Miriam Valverde,"April 29, 2020",https://www.politifact.com/factchecks/2020/apr/29/facebook-posts/claim-about-stimulus-check-eligibility-americans-m/
Facebook posts,"April 9, 2020",“President Trump has banned welfare for illegal immigrants which will save $57.4 billion a year.”,false,Facebook post,Immigration; Welfare,Miriam Valverde,"April 24, 2020",https://www.politifact.com/factchecks/2020/apr/24/facebook-posts/donald-trump-didnt-ban-welfare-immigrants-illegall/
Donald Trump,"January 14, 2020",Says Madison and Milwaukee County both carry sanctuary status for illegal immigrants and  released undocumented immigrants who have committed multiple crimes including sexual assault of a child,half-true,rally,Immigration; Crime; Wisconsin,Mica Soellner,"April 17, 2020",https://www.politifact.com/factchecks/2020/apr/17/donald-trump/trump-claim-madison-milwaukee-are-sanctuary-cities/
Jesse Watters,"March 31, 2020","“We were slow with the testing, but very quick with the travel ban. And that's been much more critical in saving lives.”",false,"comments made during an episode of ""The Five"" on the Fox News Channel",Immigration; National; Public Health; Health Check; PunditFact; Coronavirus,Shefali Luthra,"April 3, 2020",https://www.politifact.com/factchecks/2020/apr/03/jesse-watters/are-covid-19-travel-restrictions-more-critical-sav/
Facebook posts,"March 20, 2020",“Australia Closing Borders in a few hours for 6-months”,half-true,Facebook post,Immigration; Public Health; Coronavirus,Miriam Valverde,"March 25, 2020",https://www.politifact.com/factchecks/2020/mar/25/facebook-posts/fact-checking-claim-australias-borders-closure/
Chris Jacobs,"March 4, 2020","""Nate McMurray wants to reward illegals with amnesty.""",mostly-false,television commercial,Immigration; Elections; New York,Jill Terreri Ramos,"March 24, 2020",https://www.politifact.com/factchecks/2020/mar/24/chris-jacobs/jacobs-ad-exaggerates-mcmurrays-views-immigration/
Bernie Sanders,"March 15, 2020","Says a 2007 immigration bill “was opposed by (the League of United Latin American Citizens), the largest Latino organization in America. The Southern Poverty Law Center called its guest-worker programs akin to slavery. … And you know who voted with me on that one, Joe? Barack Obama.”",half-true,Democratic presidential primary debate,Immigration; Homeland Security; Voting Record,Miriam Valverde,"March 17, 2020",https://www.politifact.com/factchecks/2020/mar/17/bernie-sanders/bernie-sanders-review-2007-immigration-vote-leaves/
Bloggers,"March 13, 2020",“ICE arrests LA mayor for harboring fugitives through sanctuary city.”,pants-fire,blog post,Immigration; California,Ciara O'Rourke,"March 13, 2020",https://www.politifact.com/factchecks/2020/mar/13/blog-posting/no-ice-didnt-arrest-mayor-los-angeles/
Joe Biden,"February 14, 2020",“You had the last two administrations deport twice as many people as we deported — twice as many.”,half-true,interview with Jorge Ramos,Immigration; Homeland Security,Miriam Valverde,"March 13, 2020",https://www.politifact.com/factchecks/2020/mar/13/joe-biden/facts-behind-joe-bidens-claim-obama-era-deportatio/
Facebook posts,"July 14, 2018","A post comparing two construction workers — “Joe legal” and “Jose illegal” — says “Jose” pays no taxes yet gets free medical care, food stamps, welfare, and 'head of the class' priority for his children in applying for college.",false,posts on the Internet,Immigration; Education; Health Care; Race and Ethnicity; Poverty; Workers; Facebook Fact-checks,Louis Jacobson,"March 13, 2020",https://www.politifact.com/factchecks/2020/mar/13/facebook-posts/post-comparing-joe-legal-and-jose-illegal-rife-ina/
Republican National Committee,"March 5, 2020","On key issues including taxes, health care, the Green New Deal, abortion, and guns, there is “no daylight between” Bernie Sanders and Joe Biden.",half-true,mass email,Abortion; Environment; Immigration; Criminal Justice; Education; Health Care; Taxes; Guns,Louis Jacobson,"March 10, 2020",https://www.politifact.com/factchecks/2020/mar/10/republican-national-committee-republican/there-no-daylight-between-joe-biden-and-bernie-san/
Rush Darwish,"March 3, 2020","Says U.S. Rep. Dan Lipinski “voted against the DREAM Act, supports separating families and banning Muslims.”",mostly-false,tweet,Immigration; Illinois,Kiannah Sepeda-Miller,"March 8, 2020",https://www.politifact.com/factchecks/2020/mar/08/rush-darwish/challengers-account-lipinskis-immigration-record-f/
Facebook posts,"February 25, 2020","Says U.S. Immigration and Customs Enforcement “will be at every polling station” on Nov. 3, 2020.",false,Facebook post,Immigration; Elections,Ciara O'Rourke,"February 26, 2020",https://www.politifact.com/factchecks/2020/feb/26/facebook-posts/ice-says-its-not-patrolling-polling-locations-elec/
Breitbart,"February 12, 2020","“Amy Klobuchar vows to resettle 500 percent more refugees, none in her neighborhood.”",half-true,Facebook post,Immigration; Homeland Security; Facebook Fact-checks,Miriam Valverde,"February 17, 2020",https://www.politifact.com/factchecks/2020/feb/17/breitbart/fact-checking-facebook-post-amy-klobuchar-refugee-/
Bloggers,"October 18, 2019","Says Elizabeth Warren, asked about the Mollie Tibbetts murder, said “I know this is hard for her family, but they have to remember that we need to focus on real problems, like illegal immigrants not being able to see their kids.”",pants-fire,post on Facebook,Immigration; National; Facebook Fact-checks,Jon Greenberg,"February 14, 2020",https://www.politifact.com/factchecks/2020/feb/14/blog-posting/facebook-post-invents-false-warren-quote-immigrati/
Donald Trump,"February 4, 2020","“In sanctuary cities, local officials order police to release dangerous criminal aliens to prey upon the public instead of handing them over to ICE to be safely removed.”",mostly-false,his 2020 State of the Union address,Immigration,Bill McCarthy,"February 5, 2020",https://www.politifact.com/factchecks/2020/feb/05/donald-trump/fact-checking-trumps-state-union-claim-sanctuary-c/
Thom Tillis,"January 10, 2020",Says Democratic opponents Cal Cunningham and Erica Smith support sanctuary policies.,half-true,email newsletter,Immigration; North Carolina,Paul Specht,"January 22, 2020",https://www.politifact.com/factchecks/2020/jan/22/thom-tillis/thom-tillis-says-cunningham-and-smith-support-sanc/
Judicial Watch,"December 28, 2019","""More than 100,000 DACA applicants have been arrested—Murder, Rape, DUI.""",mostly-false,Facebook post,Immigration; Facebook Fact-checks,Miriam Valverde,"January 14, 2020",https://www.politifact.com/factchecks/2020/jan/14/judicial-watch/fact-checking-facebook-post-arrests-daca-applicant/
Facebook posts,"December 26, 2019",Says guns are required to be registered.,mostly-false,Facebook post,Immigration; Fake news; Facebook Fact-checks; Guns,Miriam Valverde,"January 8, 2020",https://www.politifact.com/factchecks/2020/jan/08/facebook-posts/fact-checking-facebook-post-gun-registry-immigrant/
Facebook posts,"November 19, 2019","Says Jeff Foxworthy wrote a list of examples explaining how ""you might live in a nation that was founded by geniuses but is run by idiots.""",false,Facebook post,Abortion; Immigration; Debt; Religion; Facebook Fact-checks,Ciara O'Rourke,"January 7, 2020",https://www.politifact.com/factchecks/2020/jan/07/facebook-posts/no-evidence-jeff-foxworthy-behind-viral-facebook-p/
Ron Johnson,"November 13, 2019","The United States is the only nation ""that grants legal permanent residency to more than a million people per year.""",true,tweet,Immigration; Legal Issues; Wisconsin,Mica Soellner,"December 26, 2019",https://www.politifact.com/factchecks/2019/dec/26/ron-johnson/sen-ron-johnson-hits-bulls-eye-claim-us-leading-gr/
Tucker Carlson,"December 15, 2019","Says the Potomac River ""has gotten dirtier and dirtier and dirtier and dirtier. I go down there and that litter is left almost exclusively by immigrants.""",pants-fire,interview with the Atlantic,Environment; Immigration; Water; PunditFact,Bill McCarthy,"December 18, 2019",https://www.politifact.com/factchecks/2019/dec/18/tucker-carlson/carlson-falsely-claims-immigrants-are-dirtying-pot/
Dan Forest,"November 25, 2019","Says immigrants wanted by ICE have victimized ""tens of thousands of children"" in North Carolina.",false,press conference,Immigration; North Carolina,Paul Specht,"December 18, 2019",https://www.politifact.com/factchecks/2019/dec/18/dan-forest/nc-lt-governor-makes-baseless-claim-about-immigrat/
Mark Walker,"November 27, 2019",Says the cartels are so bad in a Mexican border state that the U.S. government issued a ‘Do Not Travel’ warning -- the same warning it issued for Syria.,true,tweet,Immigration; Terrorism; North Carolina,Paul Specht,"December 5, 2019",https://www.politifact.com/factchecks/2019/dec/05/mark-walker/walker-mexican-border-state-dangerous-syria/
Nancy Pelosi,"November 17, 2019","President Trump ""hasn’t built any new (border) wall"" during his time in office.",mostly-true,"interview on ""Face the Nation""",Immigration; Border Security; Infrastructure; California,Chris Nichols,"November 23, 2019",https://www.politifact.com/factchecks/2019/nov/23/nancy-pelosi/mostly-true-nancy-pelosis-claim-president-trump-ha/
David McKinley,"October 13, 2019","""$53 million a week is coming across the border in drugs.""",mostly-true,article,West Virginia; Immigration; Drugs; Crime,Matthew Digby,"November 18, 2019",https://www.politifact.com/factchecks/2019/nov/18/david-mckinley/what-value-drugs-come-us-border/
Donald Trump,"November 12, 2019","""Many of the people in DACA, no longer very young, are far from ‘angels.’ Some are very tough, hardened criminals.""",false,tweet,Immigration; National; Homeland Security,Miriam Valverde,"November 14, 2019",https://www.politifact.com/factchecks/2019/nov/14/donald-trump/donald-trumps-label-some-daca-recipients-very-toug/
Joe Gruters,"November 6, 2019","""All the Democrats on the entire stage — every Democratic candidate said they want to give free health care to illegals.""",mostly-false,Tampa Bay Times forum,Immigration; Health Care; Florida,Amy Sherman,"November 8, 2019",https://www.politifact.com/factchecks/2019/nov/08/joe-gruters/florida-gop-chair-wrongly-says-every-democrat-deba/
Donald Trump,"November 1, 2019","Says ""Stacey Abrams wants to give illegal aliens the right to vote.""",mostly-false,rally,Immigration; National; Elections,Amy Sherman,"November 6, 2019",https://www.politifact.com/factchecks/2019/nov/06/donald-trump/donald-trump-distorts-stacey-abrams-comments-ab/
Donald Trump,"October 30, 2019","Says he is ""cutting illegal immigration in half.""",false,re-election campaign ad,Immigration; National; Homeland Security,Miriam Valverde,"October 31, 2019",https://www.politifact.com/factchecks/2019/oct/31/donald-trump/donald-trumps-world-series-ad-said-he-cut-illegal-/
Ryan Fournier,"October 20, 2019","""Starting January 1, 2020, California will tax legal citizens if they don’t have health insurance. Why? The state needs to come up with $98,000,000 to pay for free health insurance for illegal aliens.""",half-true,tweet,Immigration; Health Care; Homeland Security; Facebook Fact-checks,Miriam Valverde,"October 30, 2019",https://www.politifact.com/factchecks/2019/oct/30/ryan-fournier/fact-checking-claim-about-california-health-care-m/
Richard Durbin,"October 22, 2019","Says that in Illinois, ""fewer than 20% of those actually deported have been charged with any serious crime.""",mostly-true,remarks at a committee hearing,Immigration; Crime; Illinois,Kiannah Sepeda-Miller,"October 27, 2019",https://www.politifact.com/factchecks/2019/oct/27/richard-durbin/durbin-mostly-track-claim-illinois-deportations/
Michelle  Malkin,"September 10, 2019","Says Pat McCrory ""shepherded in driver’s licenses for illegal aliens in the aftermath of the 9/11 terrorist attacks.""",mostly-false,appearance on The Ingraham Angle,Immigration; North Carolina,Julianna Rennie,"September 30, 2019",https://www.politifact.com/factchecks/2019/sep/30/michelle-malkin/did-pat-mccrory-help-immigrants-get-drivers-licens/
Xavier Becerra,"August 26, 2019","""Every time we go to court,"" against the Trump administration, ""for the most part, we win.""",mostly-true,news conference,Environment; Immigration; States; Supreme Court; California,Chris Nichols,"September 25, 2019",https://www.politifact.com/factchecks/2019/sep/25/xavier-becerra/california-really-winning-court-against-trump-admi/
Facebook posts,"August 15, 2019","""ICE has not deported or detained one white illegal immigrant.""",false,Facebook post,Immigration; Homeland Security; Facebook Fact-checks,Miriam Valverde,"September 24, 2019",https://www.politifact.com/factchecks/2019/sep/24/facebook-posts/facebook-post-makes-inaccurate-claim-about-deporta/
Facebook posts,"September 20, 2019","Says an 11-year-old girl shot and killed two armed ""illegal aliens"" after they broke into her home in Montana.",pants-fire,Facebook post,Immigration; Fake news; Facebook Fact-checks; Guns,Samantha Putterman,"September 24, 2019",https://www.politifact.com/factchecks/2019/sep/24/facebook-posts/no-story-about-11-year-old-girl-who-shot-two-illeg/
Nate McMurray,"September 10, 2019","""Under @BarackObama illegal immigration dropped to a 50-year low.""",mostly-false,Tweet,Immigration; New York,Jill Terreri Ramos,"September 23, 2019",https://www.politifact.com/factchecks/2019/sep/23/nathan-mcmurray/mcmurrays-illegal-immigration-claim-only-part-stor/
Joe Biden,"September 12, 2019","""The Obama-Biden Administration did not conduct workplace raids—in fact, it ended them.""",half-true,tweet,Immigration; National; Homeland Security,Miriam Valverde,"September 18, 2019",https://www.politifact.com/factchecks/2019/sep/18/joe-biden/biden-says-obama-ended-workplace-raids-immigrants/
Joe Biden,"September 12, 2019","Says the Obama administration ""didn't lock people up in cages.""",false,Democratic debate,Immigration; National; Homeland Security,Miriam Valverde,"September 13, 2019",https://www.politifact.com/factchecks/2019/sep/13/joe-biden/fact-checking-biden-use-cages-during-obama-adminis/
Donald Trump,"August 27, 2019","Says Dan McCready ""believes in open borders and sanctuary cities.""",mostly-false,tweet,Immigration; North Carolina,Paul Specht,"August 30, 2019",https://www.politifact.com/factchecks/2019/aug/30/donald-trump/trump-misleads-nc-about-dan-mccreadys-immigration-/
Pete Buttigieg,"August 28, 2019","Says President Donald Trump has been ""taking money Congress authorized to protect people facing disaster in order to indefinitely detain asylum seekers.""",half-true,tweet,Immigration; National; Federal Budget; Natural Disasters,Louis Jacobson,"August 30, 2019",https://www.politifact.com/factchecks/2019/aug/30/pete-buttigieg/fact-checking-whether-fema-funds-were-shifted-inde/
Facebook posts,"August 25, 2019","""89,000 children were separated from their parents under Obama"" and ""only 1,900 children have been separated under Trump.""",false,Facebook post,Immigration; Homeland Security; Facebook Fact-checks,Miriam Valverde,"August 27, 2019",https://www.politifact.com/factchecks/2019/aug/27/facebook-posts/facebook-post-makes-inaccurate-comparison-family-s/
Ken Cuccinelli,"August 22, 2019","A federal pilot program to DNA test illegal immigrants showed ""something like 30% (of test subjects) are fake families.""",half-true,panel discussion,Immigration; National,John Kruzel,"August 26, 2019",https://www.politifact.com/factchecks/2019/aug/26/ken-cuccinelli/trump-administration-using-dna-tests-crack-down-fa/
Facebook posts,"August 15, 2019","Says 194 people were killed in mass shootings in 2018 while undocumented immigrants killed 83,211 people.",false,Facebook post,Immigration; Crime; Facebook Fact-checks,Samantha Putterman,"August 26, 2019",https://www.politifact.com/factchecks/2019/aug/26/facebook-posts/post-comparing-mass-shooting-deaths-homicides-undo/
Rob Schmitt,"August 14, 2019","Says the Trump administration’s new policy for legal immigrants on welfare ""has been around for a while. This is not a new thing that the president is trying to implement here, that the United States has been this way.""",half-true,"""Fox & Friends First"" discussion",Immigration; Medicaid; Welfare; PunditFact,Bill McCarthy,"August 15, 2019",https://www.politifact.com/factchecks/2019/aug/15/rob-schmitt/whats-new-trumps-public-charge-immigration-policy/
Joe Biden,"August 7, 2019","Says Donald Trump ""asserted that immigrants would quote, ‘carve you up with a knife’.""",false,campaign stop,Immigration; National,Jon Greenberg,"August 9, 2019",https://www.politifact.com/factchecks/2019/aug/09/joe-biden/joe-biden-takes-donald-trumps-words-about-gang-mem/
Nicolle Wallace,"August 5, 2019 in","Says President Donald Trump is ""talking about exterminating Latinos.""",pants-fire,on MSNBC,Immigration; PunditFact,Bill McCarthy,"August 8, 2019",https://www.politifact.com/factchecks/2019/aug/08/nicolle-wallace/no-trump-hasnt-talked-about-exterminating-latinos/
Donald Trump,"August 1, 2019","Democrats ""want virtual immunity for illegal aliens who have created horrible crimes and murder.""",false,rally,Immigration; National; Crime,Jon Greenberg,"August 2, 2019",https://www.politifact.com/factchecks/2019/aug/02/donald-trump/trumps-false-charge-democrats-want-virtual-immunit/
Donald Trump,"July 31, 2019","Says the Democratic presidential candidates ""support giving illegal immigrants free health care at our expense.""",mostly-false,re-election campaign ad,Immigration; National; Health Care; Homeland Security,Miriam Valverde,"August 1, 2019",https://www.politifact.com/factchecks/2019/aug/01/donald-trump/fact-checking-trump-ad-democrats-health-care-immig/
Richard Durbin,"July 11, 2019","Says President Trump ""has ended up attracting larger numbers of people coming to the United States presenting themselves for asylum status at our border than we’ve ever seen.""",half-true,speech,Immigration; Corrections and Updates; Illinois,Kiannah Sepeda-Miller,"July 28, 2019",https://www.politifact.com/factchecks/2019/jul/28/richard-durbin/has-trump-encouraged-unprecedented-number-migrants/
Ron Johnson,"July 21, 2019","""There's a survey done in Guatemala. A third of Guatemalans intend to migrate to the United States. That's about 5.8 million people.""",mostly-false,CNN State of the Union interview,Immigration; Homeland Security; Wisconsin,Miriam Valverde,"July 26, 2019",https://www.politifact.com/factchecks/2019/jul/26/ron-johnson/no-survey-did-not-say-third-guatemalans-intend-com/
Facebook posts,"July 4, 2019","A Donald Trump supporter held a sign at his rally ""mocking a dead migrant child.""",false,Facebook post,Immigration; Facebook Fact-checks,Ciara O'Rourke,"July 25, 2019",https://www.politifact.com/factchecks/2019/jul/25/facebook-posts/no-trump-supporter-wasnt-mocking-dead-migrant-chil/
Donna Shalala,"July 21, 2019","Says children at Homestead migrant facility ""get 30 minutes over a month to talk to family members. If they were in a prison — a federal prison — they would get 300 minutes.""",half-true,interview on CBSMiami with Jim DeFede,Immigration; Criminal Justice; Florida,Amy Sherman,"July 23, 2019",https://www.politifact.com/factchecks/2019/jul/23/donna-shalala/yes-children-homestead-facility-get-far-less-time-/
Tulsi Gabbard,"July 11, 2019","At the same time President Trump talks about supporting veterans, ""he is deporting service members who have volunteered to serve this country.""",mostly-true,public forum,Immigration; Border Security; Homeland Security; Military; Wisconsin,D.L. Davis,"July 19, 2019",https://www.politifact.com/factchecks/2019/jul/19/tulsi-gabbard/gabbard-hits-target-claim-trump-and-military-depor/
Facebook posts,"July 6, 2019","""No one mentions that illegals are free to leave detention centers anytime to go back to Mexico. They aren't our prisoners.""",mostly-false,Facebook post,Immigration; Facebook Fact-checks,Samantha Putterman,"July 17, 2019",https://www.politifact.com/factchecks/2019/jul/17/facebook-posts/undocumented-immigrants-arent-free-leave-detention/
Rush Limbaugh,"July 12, 2019","""Somebody in the Obama regime decided to get rid of"" the citizenship question in the census.",false,"""Fox & Friends"" appearance",Immigration; Census; PunditFact,Bill McCarthy,"July 15, 2019",https://www.politifact.com/factchecks/2019/jul/15/rush-limbaugh/limbaugh-wrongly-blames-obama-no-census-citizenshi/
Weston Pagano,"June 24, 2019","Says Joe Biden ""voted to expand deportations and indefinite detention for immigrants multiple times.""",half-true,essay on Medium,Immigration; National,Amy Sherman,"July 12, 2019",https://www.politifact.com/factchecks/2019/jul/12/weston-pagano/fact-checking-attack-joe-biden-about-immigration-d/
Julián Castro,"June 30, 2019","Says Section 1325 of U.S. immigration law was ""put into place in 1929, by a segregationist.""",mostly-true,interview,Immigration; Texas,Madlin Mekelburg,"July 12, 2019",https://www.politifact.com/factchecks/2019/jul/12/julian-castro/when-did-it-become-crime-cross-us-mexico-border/
Ken Cuccinelli,"July 7, 2019","""Last year, we were in the range of 850,000 and that was the most in five years. … We are letting more people become citizens than has happened in years.""",half-true,Fox News Sunday interview,Immigration; National; Homeland Security,Miriam Valverde,"July 11, 2019",https://www.politifact.com/factchecks/2019/jul/11/ken-cuccinelli/fact-checking-claim-about-number-immigrants-becomi/
