statement_originator,statement_date,statement,verdict,statement_source,tags,factchecker,factcheck_date,factcheck_analysis_link
Bernie Sanders,"April 10, 2016","Says Hillary Clinton voted ""for virtually every trade agreement that has cost the workers of this country millions of jobs.""",half-true,"interview on NBC's ""Meet the Press""",National; Candidate Biography; Jobs; Trade,Linda Qiu,"April 10, 2016",https://www.politifact.com/factchecks/2016/apr/10/bernie-sanders/clinton-voted-virtually-every-trade-agreement-kill/
Rick Scott,"April 5, 2016","""We got a million jobs.""",mostly-true,"confrontation with a customer at a Gainesville, Fla., Starbucks",Economy; Jobs; Florida,Louis Jacobson,"April 6, 2016",https://www.politifact.com/factchecks/2016/apr/06/rick-scott/rick-scott-correct-florida-created-1-million-jobs-/
Peter Kinder,"March 17, 2016","""Youth unemployment in minority communities is about 40 to 45 percent.""",mostly-true,gubernatorial debate,Economy; Jobs; Race and Ethnicity; Missouri,Katie Moeller,"April 1, 2016",https://www.politifact.com/factchecks/2016/apr/01/peter-kinder/peter-kinder-right-about-high-unemployment-minorit/
Donald Trump,"March 29, 2016","Wisconsin’s ""effective"" unemployment rate is 20 percent.",false,speech,Economy; Jobs; Wisconsin,Tom Kertscher,"March 30, 2016",https://www.politifact.com/factchecks/2016/mar/30/donald-trump/donald-trump-wrong-about-wisconsins-effective-unem/
Vicky Hartzler,"March 24, 2016","""We have less Americans working now than in the ’70s.""",mostly-false,interview with ABC17 News,Economy; Jobs; Missouri,Conner Smith,"March 26, 2016",https://www.politifact.com/factchecks/2016/mar/26/vicky-hartzler/rep-hartzler-ignores-critical-facts-about-workforc/
Bill Clinton,"March 20, 2016","""80 percent of the American people haven’t gotten a pay raise since the crash.""",mostly-true,campaign rally for Hillary Clinton,Jobs; Arizona,Anthony Cave,"March 24, 2016",https://www.politifact.com/factchecks/2016/mar/24/bill-clinton/bill-clinton-claims-americans-havent-gotten-raises/
Roy Blunt,"January 15, 2016","""The [Obama] administration’s regulatory assault on coal-fired energy has put thousands of Americans out of work""",mostly-false,news release,Environment; Energy; Jobs; Missouri,Mary McIntyre,"March 17, 2016",https://www.politifact.com/factchecks/2016/mar/17/roy-blunt/sen-blunt-overstates-white-house-policys-impact-co/
Ted Cruz,"March 13, 2016","Says President Barack Obama has ""been presiding over our jobs going overseas for seven years.""",mostly-false,"interview with NBC's ""Meet the Press""",National; Economy; Jobs; Foreign Policy; Trade,Louis Jacobson,"March 16, 2016",https://www.politifact.com/factchecks/2016/mar/16/ted-cruz/ted-cruz-pins-too-much-blame-outflow-jobs-barack-o/
Bernie Sanders,"March 9, 2016","""If you look at Latino kids between 17 and 20 who graduated high school, 36 percent of them are unemployed or underemployed. … African-American kids are unemployed or underemployed to the tune of 51 percent.""",mostly-true,Democratic presidential debate,National; Economy; Jobs; Race and Ethnicity,Louis Jacobson,"March 10, 2016",https://www.politifact.com/factchecks/2016/mar/10/bernie-sanders/bernie-sanders-statistic-black-hispanic-unemployme/
John Kasich,"February 27, 2016","""Twenty million Americans are out of work.""",half-true,television ad,National; Economy; Jobs,Louis Jacobson,"March 9, 2016",https://www.politifact.com/factchecks/2016/mar/09/john-kasich/john-kasich-ad-says-20-million-americans-are-out-w/
Bernie Sanders,"March 6, 2016","""NAFTA, supported by the Secretary (Clinton), cost us 800,000 jobs nationwide.""",mostly-false,Democratic debate,National; Jobs; Trade,Jon Greenberg,"March 7, 2016",https://www.politifact.com/factchecks/2016/mar/07/bernie-sanders/sanders-overshoots-nafta-job-losses/
Hillary Clinton,"February 12, 2016","Says she will ""work to raise the federal minimum wage back to the highest level it’s ever been — $12 an hour in today’s dollars.""",half-true,column posted on Medium.com,National; Economy; Jobs; Workers,Louis Jacobson,"February 17, 2016",https://www.politifact.com/factchecks/2016/feb/17/hillary-clinton/hillary-clinton-says-she-wants-return-real-minimum/
Hillary Clinton,"February 11, 2016","""Americans haven’t had a raise in 15 years.""",mostly-true,Democratic presidential debate,National; Economy; Jobs,Louis Jacobson,"February 12, 2016",https://www.politifact.com/factchecks/2016/feb/12/hillary-clinton/debate-hillary-clinton-says-americans-havent-had-r/
Donald Trump,"February 9, 2016","""Don't believe those phony numbers when you hear 4.9 and 5 percent unemployment. The number's probably 28, 29, as high as 35. In fact, I even heard recently 42 percent.""",pants-fire,victory speech after the New Hampshire primary,National; Economy; Jobs,Louis Jacobson,"February 11, 2016",https://www.politifact.com/factchecks/2016/feb/11/donald-trump/donald-trump-repeats-pants-fire-claim-unemployment/
Bernie Sanders,"February 4, 2016","""Not one Republican has the guts to recognize that climate change is real.""",false,Democratic debate,Environment; National; Cap and Trade; Climate Change; Debates; Economy; Energy; Jobs; Government Regulation; Negative Campaigning; Polls and Public Opinion; Public Safety,C. Eugene Emery Jr.,"February 10, 2016",https://www.politifact.com/factchecks/2016/feb/10/bernie-sanders/bernie-sanders-offers-overheated-claim-where-all-r/
Gina Raimondo,"January 26, 2016","""Owen in MA vs. Owen in RI … Advantage:Rhode Island.""",true,economic development report,Rhode Island; Corporations; Economy; Jobs,Mark  Reynolds,"February 7, 2016",https://www.politifact.com/factchecks/2016/feb/07/gina-raimondo/advantage-ri-aimed-ge-not-owen/
Hillary Clinton,"December 8, 2015","""We now have more jobs in solar than we do in oil.""",false,editorial board interview with the Concord Monitor,Environment; New Hampshire; Economy; Energy; Jobs; Labor,Nick Reid,"January 29, 2016",https://www.politifact.com/factchecks/2016/jan/29/hillary-clinton/hillary-clinton-claims-more-jobs-solar-oil/
Jerry Brown,"January 21, 2016","""Two million new jobs have been created,"" in California since 2011.",true,State of the State address,Economy; Jobs; California,Chris Nichols,"January 25, 2016",https://www.politifact.com/factchecks/2016/jan/25/jerry-brown/brown-speaks-truth-about-californias-job-growth/
Roger Williams,"January 12, 2016","Under Barack Obama, ""the fewest number of adults are working since Jimmy Carter’s presidency.""",false,response to President Barack Obama's State of the Union address,Economy; Jobs; Texas,W. Gardner Selby,"January 22, 2016",https://www.politifact.com/factchecks/2016/jan/22/roger-williams/roger-williams-falsely-says-fewest-number-adults-w/
Ted Cruz,"January 14, 2016","""We have the lowest percentage of Americans working today of any year since 1977.""",mostly-true,Fox Business Network debate,National; Economy; Jobs,Louis Jacobson,"January 15, 2016",https://www.politifact.com/factchecks/2016/jan/15/ted-cruz/ted-cruz-says-us-has-lowest-percentage-americans-w/
Barack Obama,"January 12, 2016","""Our businesses have created jobs every single month since (Obamacare) became law.""",true,his State of the Union speech,National; Economy; Health Care; Jobs,Lauren Carroll,"January 13, 2016",https://www.politifact.com/factchecks/2016/jan/13/barack-obama/business-has-created-jobs-every-month-obamacare-be/
Katrina Shankland,"November 16, 2015","Wisconsin ""is on pace to double the number of layoffs"" this year.",false,news conference,Jobs; Wisconsin,James B. Nelson,"December 21, 2015",https://www.politifact.com/factchecks/2015/dec/21/katrina-shankland/numbers-cited-katrina-shankland-layoffs-dont-tell-/
Charlotte Nash,"November 17, 2015","Since 2008, Gwinnett County’s population has grown 15 percent, while the county government staff has increased only 1 percent.",true,statement,Georgia; Census; County Budget; County Government; Economy; Jobs; Public Safety; Public Service; Workers,Nancy Badertscher,"December 11, 2015",https://www.politifact.com/factchecks/2015/dec/11/charlotte-nash/Nash-on-target-with-Gwinnett-population-staff-dat/
Terry McAuliffe,"December 3, 2015","""Since 2008, we have cut 5,000 positions"" from Virginia public schools.",true,news conference.,Education; Jobs; State Budget; Virginia,Warren Fiske,"December 8, 2015",https://www.politifact.com/factchecks/2015/dec/08/terry-mcauliffe/mcauliffe-says-5000-school-jobs-cut-2008/
Kevin de León,"November 10, 2015","California has ""robust job growth that outpaces the rest of the nation.""",mostly-true,press release,Climate Change; Economy; Energy; Jobs; California,Chris Nichols,"December 7, 2015",https://www.politifact.com/factchecks/2015/dec/07/kevin-de-leon/senator-claims-california-grows-jobs-faster-rest-n/
Facebook posts,"November 10, 2015","""Illegal immigrants mow the grass around the (Texas) Capitol.""",false,Facebook comment,Immigration; Economy; Jobs; Texas,W. Gardner Selby,"November 27, 2015",https://www.politifact.com/factchecks/2015/nov/27/facebook-posts/facebook-comment-says-illegal-immigrants-mow-texas/
Glenn Grothman,"October 30, 2015","Wisconsin’s 6th congressional ""district has more manufacturing jobs than almost any other"" in the nation.",true,interview,Jobs; Wisconsin,James B. Nelson,"November 20, 2015",https://www.politifact.com/factchecks/2015/nov/20/glenn-grothman/rep-glenn-grothman-says-his-district-has/
Hillary Clinton,"November 14, 2015","""Wages adjusted for inflation haven’t risen since the turn of the last century.""",half-true,Democratic presidential debate,National; Economy; Jobs; Workers,Louis Jacobson,"November 15, 2015",https://www.politifact.com/factchecks/2015/nov/15/hillary-clinton/hillary-clinton-says-wages-havent-risen-turn-centu/
Bernie Sanders,"November 6, 2015","""Over half of the black workers in this country earn less"" than $15 an hour.",mostly-true,Democratic presidential candidates' forum,National; Economy; Jobs; Race and Ethnicity,Louis Jacobson,"November 12, 2015",https://www.politifact.com/factchecks/2015/nov/12/bernie-sanders/bernie-sanders-says-over-half-black-workers-earn-l/
Marco Rubio,"November 10, 2015","""Welders make more money than philosophers.""",false,fourth GOP primary debate.,National; Education; Income; Jobs,Clayton Youngman,"November 11, 2015",https://www.politifact.com/factchecks/2015/nov/11/marco-rubio/marco-rubio-welders-more-money-philosophers/
Ben Carson,"November 10, 2015","""Every time we raise the minimum wage, the number of jobless people increases.""",false,Republican debate,National; Economy; Jobs; Workers,Louis Jacobson,"November 11, 2015",https://www.politifact.com/factchecks/2015/nov/11/ben-carson/ben-carson-said-raising-minimum-wage-will-increase/
Ted Cruz,"October 28, 2015","""Under Barack Obama and the big government economy, the median wage for women has dropped $733.""",false,Republican presidential debate,National; Economy; Jobs; Women,Louis Jacobson,"October 29, 2015",https://www.politifact.com/factchecks/2015/oct/29/ted-cruz/ted-cruz-says-median-wage-women-has-dropped-733-un/
Carly Fiorina,"October 28, 2015","""92 percent of the jobs lost during Barack Obama’s first term belonged to women.""",false,third Republican presidential debate,National; Jobs; Women,Jon Greenberg,"October 29, 2015",https://www.politifact.com/factchecks/2015/oct/29/carly-fiorina/fiorina-levies-out-date-charge-women-job-losses-un/
American Petroleum Institute,"August 27, 2015","""The oil and natural gas industry provides or supports 141,600 jobs in Georgia.""",mostly-true,blog post,Georgia; Jobs,April Hunt,"October 16, 2015",https://www.politifact.com/factchecks/2015/oct/16/american-petroleum-institute/group-gets-it-close-oilgas-jobs-georgia/
Bernie Sanders,"October 13, 2015","""African-American youth unemployment is 51 percent. Hispanic youth unemployment is 36 percent.""",half-true,Democratic presidential debate,National; Economy; Jobs; Race and Ethnicity,Louis Jacobson,"October 14, 2015",https://www.politifact.com/factchecks/2015/oct/14/bernie-sanders/debate-bernie-sanders-says-african-american-youth-/
Richard Saslaw,"October 5, 2015","Virginia’s current unemployment rate is ""the lowest in Virginia history.""",false,debate.,Economy; Jobs; Virginia,Sean Gorman,"October 12, 2015",https://www.politifact.com/factchecks/2015/oct/12/richard-saslaw/salaw-says-virginia-unemployment-rate-all-time-low/
Debbie Wasserman Schultz,"October 11, 2015","""When we had a conservative Republican president we were losing 750,000 jobs a month.""",mostly-true,"comments on ""State of the Union""",National; Economy; Jobs,Jon Greenberg,"October 11, 2015",https://www.politifact.com/factchecks/2015/oct/11/debbie-wasserman-schultz/wasserman-schultz-under-conservative-republican-pr/
Donald Trump,"September 28, 2015","The unemployment rate may be as high as ""42 percent.""",pants-fire,press conference,National; Corrections and Updates; Economy; Jobs,Louis Jacobson,"September 30, 2015",https://www.politifact.com/factchecks/2015/sep/30/donald-trump/donald-trump-says-unemployment-rate-may-be-42-perc/
Bernie Sanders,"September 22, 2015","The largest low-wage employer ""is not McDonalds or Walmart but the U.S. government.""",mostly-false,tweet,National; Corporations; Federal Budget; Jobs,Clayton Youngman,"September 29, 2015",https://www.politifact.com/factchecks/2015/sep/29/bernie-sanders/bernie-sanders-says-federal-government-not-mcdonal/
Butch Conway,"September 16, 2015",The racial and ethnic makeup of the Gwinnett County Sheriff’s Office mirrors the community it serves.,true,press conference,Georgia; County Government; Criminal Justice; Jobs; Crime; Race and Ethnicity; Public Safety,Nancy Badertscher,"September 29, 2015",https://www.politifact.com/factchecks/2015/sep/29/butch-conway/conways-claim-diverse-department-true/
Ted Cruz,"September 21, 2015","""When (Ronald) Reagan came in, from 1978 to 1982, economic growth averaged less than 1 percent a year. There’s only one other four-year period where that’s true. That’s true from 2008 to 2012.""",mostly-false,interview with CBS' Stephen Colbert,National; Economy; History; Jobs,Louis Jacobson,"September 25, 2015",https://www.politifact.com/factchecks/2015/sep/25/ted-cruz/ted-cruz-says-slow-economic-growth-under-jimmy-car/
Don Zimmerman,"September 1, 2015","Salaries of Austin residents who don't work for city government ""have not been going up 3 percent a year for the last several years.""",mostly-true,Austin City Council meeting,City Budget; City Government; Economy; Jobs; Texas,W. Gardner Selby,"September 25, 2015",https://www.politifact.com/factchecks/2015/sep/25/don-zimmerman/don-zimmerman-says-non-city-workers-havent-seen-3-/
Donald Trump,"August 28, 2015","""We have 93 million people out of work. They look for jobs, they give up, and all of a sudden, statistically, they're considered employed.""",false,interview with Sarah Palin,National; Economy; Jobs,Louis Jacobson,"August 31, 2015",https://www.politifact.com/factchecks/2015/aug/31/donald-trump/donald-trump-says-us-has-93-milion-people-out-work/
Russ  Feingold,"August 18, 2015","Says Ron Johnson ""opposes entirely a federal minimum wage,"" except perhaps for ""guest workers.""",true,speech,Agriculture; Economy; Jobs; Labor; Government Regulation; Unions; Workers; Wisconsin,Tom Kertscher,"August 27, 2015",https://www.politifact.com/factchecks/2015/aug/27/russ-feingold/us-sen-ron-johnson-wants-no-general-federal-minimu/
Scott Walker,"August 6, 2015","""The rate in which people are working (in Wisconsin) is almost five points higher than it is nationally.""",mostly-true,debate,Jobs; Labor; States; Wisconsin,James B. Nelson,"August 21, 2015",https://www.politifact.com/factchecks/2015/aug/21/scott-walker/scott-walker-says-wisconsin-percentage-people-work/
Israel O'Quinn,"August 10, 2015","On unemployment rates: ""We have counties in Southwest Virginia that are well into double digits and some that are pushing 20 percent.""",false,speech.,Environment; Energy; Jobs; Government Regulation; Virginia,Warren Fiske,"August 17, 2015",https://www.politifact.com/factchecks/2015/aug/17/israel-oquinn/israel-oquinn-says-some-sw-virginia-counties-are-n/
Mike Huckabee,"August 6, 2015","""One of the reasons that Social Security is in so much trouble is that the only funding stream comes from people who get a wage. The people who get wages is declining dramatically.""",mostly-false,Republican presidential debate,National; Federal Budget; Jobs; Social Security,Christian Belanger,"August 12, 2015",https://www.politifact.com/factchecks/2015/aug/12/mike-huckabee/mike-huckabee-says-social-security-imperiled-drama/
Georgia Department of Economic Development,"July 9, 2015",Film and television productions generated a $6 billion economic impact for Georgia’s economy in the most recent fiscal year.,half-true,press release,Georgia; Economy; Jobs; States; Taxes,April Hunt,"August 7, 2015",https://www.politifact.com/factchecks/2015/aug/07/georgia-department-economic-development/film-industrys-impact-georgia-economy-overstated/
Chris Riley,"July 17, 2015","Since Volvo spurned Georgia for South Carolina in early May, some 3,455 jobs promising more than $800 million in investments have come to the Peach State.",true,Atlanta Journal-Constitution blog post,Georgia; Jobs; States,April Hunt,"July 31, 2015",https://www.politifact.com/factchecks/2015/jul/31/chris-riley/numbers-back-rosy-jobs-claim-georgia/
Barack Obama,"July 21, 2015","""The economy, by every metric, is better than when I came into office.""",mostly-false,"interview with Jon Stewart of ""The Daily Show""",National; Economy; Jobs,Louis Jacobson,"July 28, 2015",https://www.politifact.com/factchecks/2015/jul/28/barack-obama/barack-obama-tells-jon-stewart-economy-every-metri/
Wisconsin State AFL-CIO,"July 8, 2015","Says ""Scott Walker’s bad budget includes: No weekend for workers.""",false,Facebook post,Jobs; Labor; Unions; Wisconsin,Sarah Hauer,"July 21, 2015",https://www.politifact.com/factchecks/2015/jul/21/wisconsin-state-afl-cio/wisconsin-afl-cio-says-scott-walker-budget-means-n/
Bernie Sanders,"July 6, 2015","For African-Americans between the ages of 17 and 20, ""the real unemployment rate … is 51 percent.""",mostly-true,rally,National; Economy; Jobs; Race and Ethnicity,Louis Jacobson,"July 13, 2015",https://www.politifact.com/factchecks/2015/jul/13/bernie-sanders/bernie-sanders-says-real-unemployment-rate-african/
American Bridge 21st Century,"July 1, 2015","Wisconsin’s economy has ""tanked"" under Gov. Scott Walker and ""so far in 2015 over 6,685 people have been laid off, already more than in all of 2014.""",false,website posting,Economy; Jobs; Wisconsin,James B. Nelson,"July 10, 2015",https://www.politifact.com/factchecks/2015/jul/10/american-bridge-21st-century/american-bridge-21st-century-says-layoffs-show-eco/
Scott Walker,"May 30, 2015","""Nationally, the unemployment rate for veterans is far greater than the national unemployment rate,"" and Wisconsin is ""one of those rare examples where unemployment is actually lower for veterans than it is for the population as a whole and certainly lower than it is nationally.""",half-true,speech,Jobs; Veterans; Wisconsin,Sarah Hauer,"June 23, 2015",https://www.politifact.com/factchecks/2015/jun/23/scott-walker/scott-walker-says-wisconsin-fares-better-nation-ve/
Donald Trump,"June 16, 2015","""Our real unemployment is anywhere from 18 to 20 percent. Don't believe the 5.6. Don't believe it.""",false,his presidential announcement speech,National; Economy; Jobs,Louis Jacobson,"June 16, 2015",https://www.politifact.com/factchecks/2015/jun/16/donald-trump/donald-trump-says-real-unemployment-rate-18-20-per/
Donald Trump,"June 16, 2015","""The last quarter, it was just announced, our gross domestic product … was below zero. Who ever heard of this? It's never below zero.""",pants-fire,his presidential announcement speech,National; Economy; Jobs,Louis Jacobson,"June 16, 2015",https://www.politifact.com/factchecks/2015/jun/16/donald-trump/donald-trump-says-us-gdp-never-negative-ter/
Motion Picture Association of America,"June 8, 2015","The film and TV industry supports more than 24,000 direct jobs and pays local workers more than $1.68 billion in wages in Georgia.",mostly-true,press release,Georgia; Jobs,April Hunt,"June 12, 2015",https://www.politifact.com/factchecks/2015/jun/12/motion-picture-association-america/federal-data-backs-claim-about-movie-and-tv-jobs/
Jeb Bush,"June 2, 2015","""We reduced the government workforce by 13,000, 11 percent, during my eight years.""",true,speech at Gov. Rick Scott's Economic Growth Summit,Jobs; State Budget; Florida,Joshua Gillin,"June 9, 2015",https://www.politifact.com/factchecks/2015/jun/09/jeb-bush/jeb-bush-says-he-cut-13000-state-workforce-jobs-go/
Rick Perry,"June 4, 2015","""In the last seven years of my tenure, Texas created 1.5 million new jobs. As a matter of fact, without Texas, America would have lost 400,000 jobs.""",mostly-true,his speech declaring his candidacy for president,Corrections and Updates; Economy; Jobs; States; Texas,W. Gardner Selby,"June 8, 2015",https://www.politifact.com/factchecks/2015/jun/08/rick-perry/rick-perry-says-texas-gained-15-million-jobs-over-/
Jeb Bush,"June 2, 2015","Says that during his eight years as Florida governor, ""we created 1.3 million net new jobs -- more jobs created than Texas.""",mostly-true,speech at Gov. Rick Scott's economic summit,Economy; Jobs; Florida,Amy Sherman,"June 3, 2015",https://www.politifact.com/factchecks/2015/jun/03/jeb-bush/jeb-bush-says-13-million-jobs-were-created-florida/
Facebook posts,"May 17, 2015","""During Obama's first five years as president, black unemployment increased 42 percent. During Reagan's presidency, black unemployment dropped 20 percent.""",pants-fire,meme on social media,National; Economy; History; Jobs; Race and Ethnicity,Louis Jacobson,"May 22, 2015",https://www.politifact.com/factchecks/2015/may/22/facebook-posts/was-ronald-reagans-record-black-unemployment-bette/
Hillary Clinton,"May 18, 2015","Hedge fund managers ""pay less in taxes than nurses and truck drivers.""",false,appearance,National; Economy; Income; Jobs; Taxes,Louis Jacobson,"May 20, 2015",https://www.politifact.com/factchecks/2015/may/20/hillary-clinton/hillary-clinton-says-hedge-fund-managers-pay-less-/
Thomas Perez,"May 7, 2015","Due to ""over-incarceration … in 1950, two out of three young black men were in the workforce. Today, it's one out of three black men are in the workforce.""",half-true,"interview on MSNBC's ""Morning Joe""",National; Criminal Justice; Economy; Jobs; Race and Ethnicity,Louis Jacobson,"May 15, 2015",https://www.politifact.com/factchecks/2015/may/15/thomas-perez/labor-secretary-tom-perez-discusses-incarcerations/
Senate Democrats,"March 31, 2015",The state budget will include scholarship money for minority students as a concession to Senate Democrats for supporting the GOP-initiated transportation bill.,true,interviews,Georgia; Jobs; State Budget; Transportation,Nancy Badertscher,"May 13, 2015",https://www.politifact.com/factchecks/2015/may/13/senate-democrats/Democrats-parlay-votes-on-transportation-bill-into/
Lincoln Chafee,"May 10, 2015","""We had the biggest drop of the rate of unemployment (in) all but 4 states.""",mostly-false,interview on CNN,Rhode Island; Economy; History; Jobs; Labor; States; Workers,Mark  Reynolds,"May 10, 2015",https://www.politifact.com/factchecks/2015/may/10/lincoln-chafee/lincoln-chafee-says-ri-governor-only-four-states-h/
Hillary Clinton,"April 23, 2015","""The United States is 65th out of 142 nations and other territories on equal pay.""",half-true,speech at the Women,National; Jobs; Women,Louis Jacobson,"May 5, 2015",https://www.politifact.com/factchecks/2015/may/05/hillary-clinton/hillary-clinton-says-us-ranks-just-65th-world-gend/
Anonymous cyber-squatter,"May 4, 2015","After laying off 30,000 people, Carly Fiorina said that in retrospect, ""I would have done them all faster.""",half-true,website,National; Candidate Biography; Corporations; Jobs,Louis Jacobson,"May 5, 2015",https://www.politifact.com/factchecks/2015/may/05/anonymous-cyber-squatter/cyber-squatter-accuses-carly-fiorina-30000-layoffs/
City of Atlanta,"August 8, 2014","Tyler Perry’s plan to turn a majority of the former Fort McPherson into a film and television studio is expected ""to add over 8,000 new jobs to Atlanta.""",half-true,press release,Georgia; Jobs; Labor; Military; Wealth,Nancy Badertscher,"May 1, 2015",https://www.politifact.com/factchecks/2015/may/01/city-atlanta/Studio-plan-jobs-claim-misleading/
Texas Organizing Project,"March 5, 2015","""The unemployment rate among blacks in Texas is 9.5% -- far more than double white unemployment -- and wages have fallen for black workers in Texas since 2000.""",true,press release,Economy; Education; Jobs; Texas,Alex Wilts,"April 23, 2015",https://www.politifact.com/factchecks/2015/apr/23/texas-organizing-project/group-black-texans-have-higher-unemployment-rate-w/
Ed Schultz,"April 17, 2015","""America has lost over 50,000 manufacturing factories on other trade deals.""",half-true,"broadcast of MSNBC's ""The Ed Show""",Jobs; Trade; PunditFact,Jon Greenberg,"April 23, 2015",https://www.politifact.com/factchecks/2015/apr/23/ed-schultz/msnbcs-schultz-trade-deals-closed-50000-factories/
Viral  BuzzFeed,"April 20, 2015",Women make only 78 percent of what men make for the same job.,mostly-false,video,Georgia; Income; Jobs; Labor; Women; Workers,Nancy Badertscher,"April 22, 2015",https://www.politifact.com/factchecks/2015/apr/22/viral-buzzfeed/viral-video-misfires-on-wage-gap/
Mark Herring,"April 14, 2015","""By age 65, the average woman will have lost $431,000 throughout her working career was a result of the pay gap.""",mostly-true,Facebook post.,Jobs; Women; Workers; Virginia,Warren Fiske,"April 20, 2015",https://www.politifact.com/factchecks/2015/apr/20/mark-herring/herring-says-average-woman-looses-431000-pay-gap-o/
George Will,"April 5, 2015","Says President Ronald Reagan ""had a month of job creation of 1 million.""",pants-fire,appearance on Fox News Sunday,Jobs; PunditFact,Jon Greenberg,"April 6, 2015",https://www.politifact.com/factchecks/2015/apr/06/george-will/no-reagan-did-not-oversee-creation-1-million-jobs-/
Occupy Democrats,"March 31, 2015","Despite raising taxes on the wealthy and hiking the minimum wage, Minnesota ""is creating jobs at a record pace, unemployment is at a historic low, median income is skyrocketing, and (the) state has a billion-dollar surplus.""",half-true,meme on social media,National; Economy; Income; Jobs; State Budget,Louis Jacobson,"April 1, 2015",https://www.politifact.com/factchecks/2015/apr/01/occupy-democrats/meme-touts-mark-daytons-economic-successes-minneso/
Martin O'Malley,"March 29, 2015","In the United States, we’ve had ""12 years in a row of wages declining.""",half-true,"interview on ABC's ""This Week""",National; Economy; Jobs,Louis Jacobson,"March 31, 2015",https://www.politifact.com/factchecks/2015/mar/31/martin-omalley/martin-omalley-says-us-has-seen-falling-wages-12-s/
David Simas,"March 18, 2015","Job growth in the United States is now at the ""fastest pace in this country's history.""",false,"interview on CNN's ""New Day""",National; Economy; Jobs,Louis Jacobson,"March 24, 2015",https://www.politifact.com/factchecks/2015/mar/24/david-simas/white-house-aide-says-job-growth-now-fastest-pace-/
Mark Pocan,"March 10, 2015","Wisconsin is ""dead last in the Midwest for job creation.""",mostly-true,interview,Jobs; Labor; Government Regulation; Unions; Workers; Wisconsin,Tom Kertscher,"March 16, 2015",https://www.politifact.com/factchecks/2015/mar/16/mark-pocan/wisconsin-dead-last-midwest-job-creation/
Jalen Ross,"March 15, 2015","""Every day, a black name resume is 50 percent less likely to get responded to than a white name resume.""",mostly-true,"comments on CNN's ""State of the Union""",Corrections and Updates; Jobs; Race and Ethnicity; PunditFact,Katie Sanders,"March 15, 2015",https://www.politifact.com/factchecks/2015/mar/15/jalen-ross/black-name-resume-50-percent-less-likely-get-respo/
Lindsey Graham,"March 8, 2015","""The labor participation rate is at an all-time low.""",mostly-false,"comments on NBC's ""Meet the Press""",National; Economy; Jobs,Lauren Carroll,"March 8, 2015",https://www.politifact.com/factchecks/2015/mar/08/lindsey-graham/lindsey-graham-has-it-wrong-meet-press-labor-parti/
Tom Graves,"February 24, 2015","President Barack Obama's veto of the Keystone XL pipeline killed ""42,000 jobs.""",half-true,press release,Georgia; Energy; Jobs,Nancy Badertscher,"March 2, 2015",https://www.politifact.com/factchecks/2015/mar/02/tom-graves/graves-right-number-bit-keystone-jobs-context/
Gina Raimondo,"February 18, 2015","Rhode Island has invested less in tourism, economic development and economic development personnel than four nearby states.",mostly-false,presentation,Rhode Island; Economy; Jobs; Small Business; State Budget; States; Tourism; Workers; Taxes,C. Eugene Emery Jr.,"March 1, 2015",https://www.politifact.com/factchecks/2015/mar/01/gina-raimondo/gov-gina-raimondo-says-rhode-island-invests-less-e/
Joseph Yost,"February 16, 2015","""One third of our age group (Millennials) have moved back in with their parents.""",mostly-true,floor speech.,Families; Jobs; Virginia,Sean Gorman,"February 23, 2015",https://www.politifact.com/factchecks/2015/feb/23/joseph-yost/yost-says-one-third-millennials-live-parents/
Lee May,"January 22, 2015","In the past year, DeKalb has ""attracted and retained more than 2,300 jobs.""",mostly-true,2015 State of the County address,Georgia; Economy; Jobs,April Hunt,"February 13, 2015",https://www.politifact.com/factchecks/2015/feb/13/lee-may/dekalb-jobs-claim-needs-some-refining/
Ted Cruz,"February 8, 2015","""92 million Americans aren't working.""",mostly-false,"interview on CNN's ""State of the Union""",National; Economy; Jobs,Louis Jacobson,"February 10, 2015",https://www.politifact.com/factchecks/2015/feb/10/ted-cruz/ted-cruz-says-92-million-americans-arent-working/
Nicholas Mattiello,"January 18, 2015","""There haven't been tax cuts for the rich"" in Rhode Island.",false,"interview on ""10 News Conference""",Rhode Island; Economy; History; Jobs; Poverty; State Budget; Wealth; Taxes,C. Eugene Emery Jr.,"February 8, 2015",https://www.politifact.com/factchecks/2015/feb/08/nicholas-mattiello/house-speaker-nicholas-mattiello-says-rhode-island/
Nathan Deal,"January 14, 2015","""Since I took office, over 319,000 new private sector jobs have been created in Georgia with nearly 93,000 of those coming in the past 12 months.""",true,governor's State of the State address,Georgia; Economy; Jobs,April Hunt,"February 3, 2015",https://www.politifact.com/factchecks/2015/feb/03/nathan-deal/claims-about-job-creation-under-deal-accurate/
John Boehner,"January 25, 2015","The Affordable Care Act ""basically puts a penalty or a tax on employers for every new job they create.""",half-true,"interview on CBS' ""60 Minutes""",National; Economy; Health Care; Jobs; Taxes,Louis Jacobson,"January 29, 2015",https://www.politifact.com/factchecks/2015/jan/29/john-boehner/john-boehner-says-obamacare-puts-penalty-or-tax-em/
Terry Jeffrey,"January 21, 2015",There were more people on welfare than working in 2013.,false,column,Economy; Jobs; Poverty; Welfare; PunditFact,Louis Jacobson,"January 28, 2015",https://www.politifact.com/factchecks/2015/jan/28/terry-jeffrey/are-there-more-welfare-recipients-us-full-time-wor/
